Latitude,Temperature,Cloudiness,Wind Speed,Relative Humidity
-13.85,81.61,0,9.57,86
10.57,82.96,88,11.03,100
53.13,44.44,0,3.42,68
-20.34,71.6,20,11.41,73
53.33,50.92,68,3.31,90
5.65,61.54,20,2.19,94
-11.81,75.94,100,8.79,88
59.7,48.2,75,11.18,70
69.49,41.92,100,20.54,95
7.04,84.2,75,11.41,74
-33.93,57.2,75,25.28,87
42.65,67.39,90,10.29,89
33.93,64.4,75,4.7,100
60.75,46.51,76,2.42,46
18.03,73.69,80,2.98,100
-23.12,71.26,64,23.33,100
26.59,75.49,68,11.81,51
-10.18,84.2,20,3.36,62
69.22,32.0,68,10.29,100
29.28,35.17,0,2.75,88
73.51,39.76,92,21.54,96
35.58,55.06,0,3.2,74
41.85,55.4,0,4.7,100
8.96,55.4,20,6.93,76
63.29,43.18,24,5.77,76
-14.27,73.51,92,14.94,100
65.61,35.6,0,3.36,69
-35.1,60.55,56,10.02,60
-0.6,80.71,88,11.81,100
-20.63,78.1,76,6.22,43
56.98,39.94,56,4.43,92
35.73,60.8,75,14.99,100
2.29,77.0,75,3.36,94
-33.21,61.0,0,6.44,61
-6.97,77.0,40,8.05,78
65.85,43.09,92,11.25,99
-23.58,76.84,0,9.01,52
-34.42,54.7,32,8.79,78
45.36,64.69,1,4.7,91
-42.48,46.06,92,2.08,82
44.76,50.29,76,2.64,82
36.62,61.84,40,10.29,80
22.57,84.94,0,3.42,87
-27.46,68.0,75,3.36,94
-34.61,44.8,80,4.76,82
-2.88,81.34,8,8.12,87
-33.64,55.42,44,8.79,100
5.28,82.4,75,3.36,88
-34.58,57.76,0,3.65,83
-20.65,70.54,92,17.18,100
23.99,71.6,90,9.17,56
19.43,75.13,32,4.65,94
-14.99,68.92,0,11.14,35
63.05,46.33,92,25.9,95
-42.88,55.4,0,9.17,50
20.42,69.19,56,2.42,89
-46.43,43.0,64,12.71,77
24.15,88.0,44,4.09,70
38.52,74.86,88,25.57,96
-54.81,41.0,0,3.36,44
22.08,82.36,75,14.99,79
25.91,66.31,0,4.43,66
19.71,78.48,75,16.11,63
-30.97,38.59,8,3.98,56
60.14,37.87,92,6.67,95
-3.71,80.6,0,14.99,74
20.52,80.62,0,6.44,27
5.79,78.8,40,9.17,88
69.44,30.2,75,16.11,74
66.83,49.21,0,19.3,92
24.63,80.6,0,3.76,15
36.37,64.4,0,4.47,59
-17.73,80.6,75,5.82,57
13.93,82.4,90,1.97,78
42.87,59.38,20,5.82,67
60.79,55.04,40,9.17,63
17.54,80.6,75,2.24,83
50.78,43.81,0,4.21,77
3.07,83.59,0,4.88,100
-2.03,78.8,20,13.87,74
14.2,73.96,48,7.78,50
72.79,34.54,80,23.89,100
11.53,75.49,88,3.76,96
15.34,71.98,88,1.07,99
69.3,25.36,80,3.98,86
60.72,51.8,75,5.82,40
19.3,75.2,75,2.24,94
9.45,72.61,0,2.98,98
15.44,75.85,88,1.63,86
35.3,61.36,0,4.99,91
54.32,53.6,90,8.05,100
43.47,54.93,1,4.7,62
30.4,80.6,44,3.2,74
5.67,81.79,88,14.72,100
53.8,51.8,20,11.41,93
-46.19,45.79,92,10.13,100
39.41,75.56,20,9.17,93
-7.75,69.82,12,5.77,86
69.23,38.5,90,31.09,93
51.04,47.21,0,3.53,100
56.52,59.0,36,17.22,82
51.86,48.2,0,3.36,93
26.91,93.85,0,11.81,49
33.6,51.64,0,2.42,45
5.29,78.8,20,6.93,88
-33.69,60.28,88,9.35,96
34.31,65.37,75,4.7,100
27.03,74.05,88,9.46,60
42.84,42.01,0,9.24,62
43.87,74.59,1,6.93,20
-22.97,75.49,0,26.35,82
53.2,48.2,40,11.41,66
37.83,57.72,90,3.2,74
62.45,32.0,75,17.22,96
-35.62,58.66,48,9.69,98
68.75,35.26,56,3.31,77
-34.48,59.2,92,14.83,91
-0.74,75.2,0,17.22,69
47.59,44.89,0,2.3,100
27.67,75.2,0,0.63,57
40.97,80.06,1,4.7,4
35.01,60.46,0,5.55,84
45.6,60.8,0,6.93,67
-53.16,37.4,0,6.93,74
58.29,44.6,20,8.95,87
-16.99,77.0,40,11.41,69
0.05,75.04,48,3.76,92
10.24,80.6,20,4.99,88
5.38,82.42,8,17.29,95
-33.02,67.57,0,19.86,100
30.78,49.66,0,2.64,73
2.34,73.24,36,15.61,71
71.97,23.11,0,8.68,85
-34.53,62.6,68,4.7,59
49.72,42.8,75,10.29,87
-15.77,80.6,90,5.82,61
32.21,69.8,20,6.71,73
38.18,75.2,75,12.75,73
17.01,73.4,0,4.7,73
38.47,62.6,20,6.93,82
-18.36,76.03,0,10.02,38
28.21,59.2,88,3.2,64
60.72,35.6,75,4.7,64
-4.26,82.6,12,3.42,75
-28.0,69.8,75,12.75,64
55.1,39.2,75,10.29,86
-28.24,71.6,75,2.24,94
-5.2,77.02,64,16.84,86
41.28,70.16,1,17.22,96
56.15,38.86,88,4.32,87
64.25,43.36,20,5.44,100
34.7,62.29,75,26.4,88
-33.59,63.16,0,13.49,94
4.94,80.6,0,9.17,88
-21.21,82.4,75,8.05,74
52.43,47.86,92,6.22,97
39.95,64.04,1,2.75,38
58.81,50.0,75,5.82,57
-43.3,43.54,68,9.91,56
60.73,46.4,0,6.71,87
-3.94,82.69,0,10.13,73
30.62,49.66,0,2.64,73
47.5,66.83,75,13.87,4
48.88,37.58,1,3.2,99
71.64,32.47,88,11.25,97
-12.14,76.21,32,4.54,49
20.71,74.68,88,2.19,96
27.52,96.01,0,4.21,30
2.04,78.28,92,12.48,100
5.35,76.48,0,16.28,88
17.65,84.04,36,9.69,100
62.53,33.01,64,3.65,63
30.04,76.68,40,5.99,88
-22.53,75.49,0,26.35,82
-38.31,47.23,88,10.8,72
35.54,48.76,88,3.65,98
52.96,36.61,20,6.33,95
50.7,62.6,40,13.87,55
71.98,27.79,44,18.3,86
18.69,74.86,0,5.77,27
7.53,73.69,92,3.76,100
-30.38,66.2,75,11.41,63
68.06,38.14,76,4.65,68
-20.74,82.42,0,10.69,19
27.91,84.09,40,6.93,79
61.13,48.2,48,33.33,57
15.02,78.37,88,7.56,100
-42.78,55.4,0,9.17,50
-8.65,80.6,20,2.24,65
-26.98,69.1,92,3.65,96
39.45,62.6,75,14.99,39
58.3,51.58,90,4.7,96
-16.46,77.74,68,2.75,84
64.42,50.0,75,13.42,76
3.3,76.39,64,3.76,100
40.25,70.99,1,4.7,4
57.15,51.8,0,5.82,81
39.31,77.13,1,8.79,93
47.66,44.6,75,9.17,87
35.51,69.8,0,27.51,64
-34.85,57.2,75,13.87,71
7.98,75.49,0,17.52,92
-17.47,67.39,0,6.55,43
6.8,78.8,0,4.7,94
20.2,83.32,80,3.65,19
31.42,66.2,75,3.36,93
-29.67,37.51,0,2.64,82
-21.69,78.8,20,6.93,50
-22.19,64.24,48,2.64,88
40.77,45.97,64,3.98,95
-46.13,45.34,92,7.56,100
-45.58,46.99,40,13.87,98
66.0,43.27,88,11.7,96
56.45,59.0,24,17.22,82
-30.17,68.02,88,4.43,97
30.75,73.96,48,5.77,72
41.38,41.65,92,6.78,99
-20.73,86.0,0,11.41,16
54.9,50.0,92,18.34,93
39.62,70.12,75,8.05,100
29.03,76.12,0,10.47,60
-46.28,49.66,76,12.82,81
-32.03,66.67,76,6.67,98
37.24,59.65,0,4.09,61
63.44,40.93,88,7.9,100
34.73,72.1,90,2.64,94
-19.06,80.6,40,12.75,65
3.17,77.0,75,6.93,94
15.25,80.6,40,5.82,78
60.91,35.6,75,4.7,64
4.95,70.99,0,2.75,91
5.2,57.58,32,1.19,80
-17.53,80.6,75,5.82,57
-33.52,60.28,88,9.35,96
59.08,42.55,20,6.89,67
-14.06,70.45,0,10.69,64
-15.5,67.66,24,2.19,87
15.46,80.44,36,0.63,61
38.68,61.99,1,7.23,83
49.19,52.29,20,10.29,75
-3.77,78.8,75,3.53,88
45.52,82.72,20,8.05,28
39.81,45.34,44,14.5,84
-27.96,47.59,0,2.86,93
-26.65,53.17,0,13.49,84
68.22,32.0,75,5.82,96
13.22,82.4,20,18.34,78
43.52,68.0,0,4.7,72
-28.95,65.86,8,3.42,91
21.44,83.14,40,5.82,87
-21.74,79.81,56,5.99,51
61.99,39.22,92,35.41,98
34.74,54.07,0,7.45,56
50.23,39.13,24,10.69,94
-10.62,78.1,64,15.95,99
21.35,83.19,40,5.82,87
-8.93,77.02,0,2.42,50
29.11,57.13,0,4.43,50
-41.87,48.67,92,4.21,71
